2014년_ [교양과목 성적평가 분포_(대학)_],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준년도,학교명,학기,교양과목 성적인정 총학생수,만점평점,등급(평점)별 학생수 및 비율,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A+,,A0,,A-,,B+,,B0,,B-,,C+,,C0,,C-,,D+,,D0,,D-,,F,
,,,,,학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%)
2013,한경대학교 _본교,1학기,"8,179",4.5,"1,490",18.2,828,10.1,0,0,"2,028",24.8,980,12,0,0,"1,536",18.8,575,7,0,0,185,2.3,139,1.7,0,0,418,5.1
2013,한경대학교 _본교,2학기,"7,236",4.5,"1,612",22.3,695,9.6,0,0,"1,900",26.3,666,9.2,0,0,"1,342",18.5,390,5.4,0,0,160,2.2,122,1.7,0,0,349,4.8
2013,한경대학교(산업대) _본교(폐교),1학기,"3,688",4.5,"1,327",36,372,10.1,0,0,845,22.9,264,7.2,0,0,465,12.6,162,4.4,0,0,46,1.2,33,0.9,0,0,174,4.7
2013,한경대학교(산업대) _본교(폐교),2학기,"3,560",4.5,"1,198",33.7,301,8.5,0,0,797,22.4,275,7.7,0,0,473,13.3,144,4,0,0,68,1.9,61,1.7,0,0,243,6.8
2013,한국과학기술원 _본교,1학기,"8,774",4.3,"1,255",14.3,"1,655",18.9,"1,777",20.3,"1,704",19.4,"1,023",11.7,570,6.5,312,3.6,211,2.4,131,1.5,46,0.5,37,0.4,22,0.3,31,0.4
2013,한국과학기술원 _본교,2학기,"7,256",4.3,960,13.2,"1,231",17,"1,272",17.5,"1,306",18,983,13.5,626,8.6,337,4.6,224,3.1,149,2.1,49,0.7,51,0.7,36,0.5,32,0.4
2013,한국교원대학교 _본교,1학기,"3,645",4.5,646,17.7,201,5.5,105,2.9,"1,171",32.1,276,7.6,128,3.5,763,20.9,161,4.4,71,1.9,36,1,21,0.6,12,0.3,54,1.5
2013,한국교원대학교 _본교,2학기,"3,088",4.5,588,19,171,5.5,56,1.8,"1,093",35.4,214,6.9,54,1.7,685,22.2,104,3.4,29,0.9,19,0.6,21,0.7,8,0.3,46,1.5
2013,한국교통대학교 _본교,1학기,"15,662",4.5,"3,298",21.1,"1,718",11,0,0,"4,241",27.1,"1,655",10.6,0,0,"2,681",17.1,997,6.4,0,0,252,1.6,220,1.4,0,0,600,3.8
2013,한국교통대학교 _본교,2학기,"14,413",4.5,"3,124",21.7,"1,551",10.8,0,0,"4,059",28.2,"1,502",10.4,0,0,"2,523",17.5,776,5.4,0,0,203,1.4,205,1.4,0,0,470,3.3
2013,한국교통대학교(산업대) _본교(폐교),1학기,"2,535",4.5,579,22.8,216,8.5,0,0,744,29.3,250,9.9,0,0,421,16.6,129,5.1,0,0,42,1.7,55,2.2,0,0,99,3.9
2013,한국교통대학교(산업대) _본교(폐교),2학기,"2,393",4.5,442,18.5,197,8.2,0,0,749,31.3,230,9.6,0,0,436,18.2,144,6,0,0,38,1.6,59,2.5,0,0,98,4.1
2013,한국국제대학교 _본교,1학기,"5,204",4.5,802,15.4,274,5.3,0,0,"1,764",33.9,919,17.7,0,0,501,9.6,275,5.3,0,0,74,1.4,46,0.9,0,0,549,10.5
2013,한국국제대학교 _본교,2학기,"4,020",4.5,747,18.6,198,4.9,0,0,"1,324",32.9,623,15.5,0,0,397,9.9,221,5.5,0,0,80,2,45,1.1,0,0,385,9.6
2013,한국기술교육대학교 _본교,1학기,"9,683",4.5,"1,976",20.4,892,9.2,0,0,"2,530",26.1,"1,032",10.7,0,0,"1,603",16.6,552,5.7,0,0,280,2.9,245,2.5,0,0,573,5.9
2013,한국기술교육대학교 _본교,2학기,"8,454",4.5,"1,779",21,761,9,0,0,"2,258",26.7,920,10.9,0,0,"1,403",16.6,474,5.6,0,0,222,2.6,240,2.8,0,0,397,4.7
2013,한국방송통신대학교 _본교,1학기,"189,925",4.3,"2,956",1.6,"6,717",3.5,"11,044",5.8,"6,937",3.7,"13,169",6.9,"13,582",7.2,"7,056",3.7,"11,672",6.1,"11,086",5.8,"5,656",3,"8,933",4.7,"7,959",4.2,"83,158",43.8
2013,한국방송통신대학교 _본교,2학기,"164,397",4.3,"4,113",2.5,"7,047",4.3,"9,502",5.8,"5,403",3.3,"11,466",7,"11,556",7,"6,142",3.7,"10,817",6.6,"10,617",6.5,"5,584",3.4,"9,340",5.7,"9,346",5.7,"63,464",38.6
2013,한국산업기술대학교 _본교,1학기,"10,120",4.5,"1,704",16.8,"1,195",11.8,0,0,"1,983",19.6,"1,141",11.3,0,0,"1,775",17.5,706,7,0,0,335,3.3,215,2.1,0,0,"1,066",10.5
2013,한국산업기술대학교 _본교,2학기,"7,674",4.5,"1,441",18.8,906,11.8,0,0,"1,623",21.1,773,10.1,0,0,"1,506",19.6,494,6.4,0,0,186,2.4,103,1.3,0,0,642,8.4
2013,한국산업기술대학교(산업대) _본교(폐교),1학기,"9,568",4.5,"2,544",26.6,"1,318",13.8,0,0,"1,969",20.6,797,8.3,0,0,"1,553",16.2,480,5,0,0,235,2.5,168,1.8,0,0,504,5.3
2013,한국산업기술대학교(산업대) _본교(폐교),2학기,"8,630",4.5,"2,324",26.9,"1,203",13.9,0,0,"1,842",21.3,668,7.7,0,0,"1,444",16.7,399,4.6,0,0,170,2,166,1.9,0,0,414,4.8
2013,한국성서대학교 _본교,1학기,"3,188",4.3,653,20.5,329,10.3,129,4,711,22.3,230,7.2,81,2.5,570,17.9,121,3.8,85,2.7,30,0.9,32,1,37,1.2,180,5.6
2013,한국성서대학교 _본교,2학기,"2,167",4.3,431,19.9,188,8.7,58,2.7,528,24.4,139,6.4,72,3.3,460,21.2,96,4.4,75,3.5,17,0.8,6,0.3,12,0.6,85,3.9
2013,한국예술종합학교 _본교,1학기,"3,848",4.3,"1,055",27.4,730,19,545,14.2,428,11.1,304,7.9,239,6.2,126,3.3,69,1.8,61,1.6,41,1.1,24,0.6,24,0.6,202,5.2
2013,한국예술종합학교 _본교,2학기,"3,402",4.3,"1,002",29.5,653,19.2,467,13.7,373,11,209,6.1,161,4.7,126,3.7,85,2.5,52,1.5,25,0.7,36,1.1,15,0.4,198,5.8
2013,한국외국어대학교 _본교,1학기,"14,933",4.5,"5,148",34.5,"2,096",14,0,0,"3,219",21.6,666,4.5,0,0,"2,220",14.9,427,2.9,0,0,153,1,92,0.6,0,0,912,6.1
2013,한국외국어대학교 _본교,2학기,"13,978",4.5,"5,122",36.6,"2,166",15.5,0,0,"2,831",20.3,698,5,0,0,"1,969",14.1,357,2.6,0,0,143,1,91,0.7,0,0,601,4.3
2013,한국외국어대학교(용인) _분교(폐교),1학기,"14,016",4.5,"3,656",26.1,"1,648",11.8,0,0,"3,366",24,965,6.9,0,0,"2,374",16.9,563,4,0,0,281,2,173,1.2,0,0,990,7.1
2013,한국외국어대학교(용인) _분교(폐교),2학기,"13,999",4.5,"4,065",29,"1,593",11.4,0,0,"3,290",23.5,897,6.4,0,0,"2,563",18.3,576,4.1,0,0,238,1.7,141,1,0,0,636,4.5
2013,한국전통문화대학교 _본교,1학기,"1,094",4.5,192,17.6,155,14.2,0,0,263,24,152,13.9,0,0,190,17.4,63,5.8,0,0,16,1.5,13,1.2,0,0,50,4.6
2013,한국전통문화대학교 _본교,2학기,"1,125",4.5,204,18.1,135,12,0,0,311,27.6,144,12.8,0,0,187,16.6,81,7.2,0,0,18,1.6,16,1.4,0,0,29,2.6
2013,한국체육대학교 _본교,1학기,"5,300",4.5,"1,240",23.4,824,15.5,0,0,"1,051",19.8,721,13.6,0,0,626,11.8,411,7.8,0,0,114,2.2,105,2,0,0,208,3.9
2013,한국체육대학교 _본교,2학기,"5,047",4.5,"1,075",21.3,695,13.8,0,0,"1,172",23.2,646,12.8,0,0,651,12.9,298,5.9,0,0,90,1.8,130,2.6,0,0,290,5.7
2013,한국항공대학교 _본교,1학기,"7,361",4.5,"1,467",19.9,"1,015",13.8,0,0,"2,032",27.6,815,11.1,0,0,"1,182",16.1,342,4.6,0,0,125,1.7,82,1.1,0,0,301,4.1
2013,한국항공대학교 _본교,2학기,"6,348",4.5,"1,410",22.2,945,14.9,0,0,"1,776",28,631,9.9,0,0,"1,079",17,210,3.3,0,0,83,1.3,34,0.5,0,0,180,2.8
2013,한국해양대학교 _본교,1학기,"17,664",4.5,"3,542",20.1,"2,198",12.4,0,0,"4,170",23.6,"1,928",10.9,0,0,"3,001",17,"1,116",6.3,0,0,436,2.5,447,2.5,0,0,826,4.7
2013,한국해양대학교 _본교,2학기,"14,997",4.5,"3,158",21.1,"1,750",11.7,0,0,"3,637",24.3,"1,503",10,0,0,"2,517",16.8,959,6.4,0,0,290,1.9,343,2.3,0,0,840,5.6
2013,한남대학교 _본교,1학기,"36,418",4.5,"3,831",10.5,"2,807",7.7,"2,238",6.1,"6,098",16.7,"3,481",9.6,"2,609",7.2,"6,149",16.9,"2,715",7.5,"2,458",6.7,696,1.9,493,1.4,719,2,"2,124",5.8
2013,한남대학교 _본교,2학기,"34,444",4.5,"3,830",11.1,"2,704",7.9,"2,087",6.1,"6,118",17.8,"3,175",9.2,"2,412",7,"5,949",17.3,"2,603",7.6,"2,203",6.4,620,1.8,399,1.2,638,1.9,"1,706",5
2013,한동대학교 _본교,1학기,"9,867",4.5,"1,360",13.8,"1,914",19.4,0,0,"2,254",22.8,"1,588",16.1,0,0,"1,346",13.6,701,7.1,0,0,198,2,192,1.9,0,0,314,3.2
2013,한동대학교 _본교,2학기,"8,294",4.5,"1,018",12.3,"1,395",16.8,0,0,"1,973",23.8,"1,306",15.7,0,0,"1,361",16.4,661,8,0,0,220,2.7,178,2.1,0,0,182,2.2
2013,한라대학교 _본교,1학기,"12,447",4.5,"2,160",17.4,"1,481",11.9,0,0,"2,744",22,"1,462",11.7,0,0,"2,505",20.1,990,8,0,0,325,2.6,250,2,0,0,530,4.3
2013,한라대학교 _본교,2학기,"12,122",4.5,"2,297",18.9,"1,462",12.1,0,0,"2,651",21.9,"1,358",11.2,0,0,"2,222",18.3,"1,084",8.9,0,0,271,2.2,215,1.8,0,0,562,4.6
2013,한려대학교 _본교,1학기,958,4.5,230,24,218,22.8,0,0,200,20.9,148,15.4,0,0,71,7.4,41,4.3,0,0,16,1.7,20,2.1,0,0,14,1.5
2013,한려대학교 _본교,2학기,757,4.5,191,25.2,212,28,0,0,148,19.6,95,12.5,0,0,46,6.1,31,4.1,0,0,16,2.1,7,0.9,0,0,11,1.5
2013,한려대학교(산업대) _본교(폐교),1학기,23,4.5,2,8.7,5,21.7,0,0,6,26.1,9,39.1,0,0,1,4.3,0,0,0,0,0,0,0,0,0,0,0,0
2013,한려대학교(산업대) _본교(폐교),2학기,2,4.5,0,0,1,50,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,한림대학교 _본교,1학기,"21,869",4.5,"4,533",20.7,"2,458",11.2,0,0,"4,605",21.1,"2,028",9.3,0,0,"4,722",21.6,"1,941",8.9,0,0,499,2.3,351,1.6,0,0,732,3.3
2013,한림대학교 _본교,2학기,"19,261",4.5,"4,171",21.7,"2,182",11.3,0,0,"4,097",21.3,"1,560",8.1,0,0,"4,309",22.4,"1,586",8.2,0,0,441,2.3,306,1.6,0,0,609,3.2
2013,한밭대학교 _본교,1학기,"12,305",4.5,"1,815",14.8,"1,287",10.5,0,0,"3,031",24.6,"1,574",12.8,0,0,"2,165",17.6,"1,054",8.6,0,0,382,3.1,267,2.2,0,0,730,5.9
2013,한밭대학교 _본교,2학기,"9,119",4.5,"1,491",16.4,798,8.8,0,0,"2,214",24.3,"1,072",11.8,0,0,"1,702",18.7,738,8.1,0,0,223,2.4,264,2.9,0,0,617,6.8
2013,한밭대학교(산업대) _본교(폐교),1학기,"2,684",4.5,594,22.1,268,10,0,0,795,29.6,207,7.7,0,0,489,18.2,121,4.5,0,0,57,2.1,48,1.8,0,0,105,3.9
2013,한밭대학교(산업대) _본교(폐교),2학기,"2,817",4.5,586,20.8,251,8.9,0,0,770,27.3,296,10.5,0,0,497,17.6,167,5.9,0,0,44,1.6,68,2.4,0,0,138,4.9
2013,한북대학교 _본교(폐교),1학기,"2,712",4.5,406,15,473,17.4,0,0,647,23.9,449,16.6,0,0,266,9.8,179,6.6,0,0,62,2.3,0,0,0,0,230,8.5
2013,한북대학교 _본교(폐교),2학기,"2,612",4.5,411,15.7,485,18.6,0,0,644,24.7,419,16,0,0,245,9.4,163,6.2,0,0,50,1.9,0,0,0,0,195,7.5
2013,한서대학교 _본교,1학기,"24,309",4.5,"4,426",18.2,"3,992",16.4,0,0,"5,542",22.8,"3,217",13.2,0,0,"3,116",12.8,"1,561",6.4,0,0,667,2.7,788,3.2,0,0,"1,000",4.1
2013,한서대학교 _본교,2학기,"23,300",4.5,"4,065",17.4,"3,151",13.5,0,0,"5,691",24.4,"2,783",11.9,0,0,"3,891",16.7,"1,578",6.8,0,0,527,2.3,676,2.9,0,0,938,4
2013,한성대학교 _본교,1학기,"22,336",4.5,"4,687",21,"2,445",10.9,0,0,"5,556",24.9,"2,567",11.5,0,0,"3,323",14.9,"1,348",6,0,0,515,2.3,464,2.1,0,0,"1,431",6.4
2013,한성대학교 _본교,2학기,"20,753",4.5,"3,446",16.6,"1,367",6.6,0,0,"6,867",33.1,"2,500",12,0,0,"3,481",16.8,"1,100",5.3,0,0,402,1.9,312,1.5,0,0,"1,278",6.2
2013,한세대학교 _본교,1학기,"8,227",4.5,"2,134",25.9,"1,063",12.9,0,0,"2,030",24.7,889,10.8,0,0,913,11.1,410,5,0,0,134,1.6,145,1.8,0,0,509,6.2
2013,한세대학교 _본교,2학기,"7,438",4.5,"1,682",22.6,790,10.6,0,0,"1,936",26,700,9.4,0,0,"1,257",16.9,420,5.6,0,0,119,1.6,130,1.7,0,0,404,5.4
2013,한신대학교 _본교,1학기,"13,999",4.5,"3,886",27.8,"1,718",12.3,0,0,"3,175",22.7,"1,385",9.9,0,0,"1,784",12.7,677,4.8,0,0,251,1.8,225,1.6,0,0,898,6.4
2013,한신대학교 _본교,2학기,"9,854",4.5,"1,612",16.4,"1,071",10.9,0,0,"2,546",25.8,"1,045",10.6,0,0,"1,774",18,722,7.3,0,0,247,2.5,193,2,0,0,644,6.5
2013,한양대학교 _본교,1학기,"52,303",4.5,"14,132",27,"7,836",15,0,0,"11,728",22.4,"4,723",9,0,0,"6,915",13.2,"2,286",4.4,0,0,855,1.6,518,1,0,0,"3,310",6.3
2013,한양대학교 _본교,2학기,"46,722",4.5,"11,088",23.7,"7,581",16.2,0,0,"11,221",24,"4,062",8.7,0,0,"6,309",13.5,"2,064",4.4,0,0,936,2,518,1.1,0,0,"2,943",6.3
2013,한양대학교(ERICA) _분교,1학기,"31,772",4.5,"7,139",22.5,"5,039",15.9,0,0,"7,736",24.3,"3,305",10.4,0,0,"4,606",14.5,"1,460",4.6,0,0,477,1.5,284,0.9,0,0,"1,726",5.4
2013,한양대학교(ERICA) _분교,2학기,"28,598",4.5,"6,134",21.4,"4,108",14.4,0,0,"7,289",25.5,"2,901",10.1,0,0,"4,369",15.3,"1,380",4.8,0,0,466,1.6,311,1.1,0,0,"1,640",5.7
2013,한양사이버대학교 _본교,1학기,"21,210",4.5,"3,544",16.7,"2,528",11.9,0,0,"5,210",24.6,"2,782",13.1,0,0,"2,888",13.6,"1,471",6.9,0,0,612,2.9,274,1.3,0,0,"1,901",9
2013,한양사이버대학교 _본교,2학기,"18,107",4.5,"2,814",15.5,"2,590",14.3,0,0,"4,360",24.1,"2,403",13.3,0,0,"2,513",13.9,"1,176",6.5,0,0,414,2.3,188,1,0,0,"1,649",9.1
2013,한영신학대학교 _본교,1학기,"1,961",4.5,227,11.6,208,10.6,0,0,590,30.1,311,15.9,0,0,315,16.1,117,6,0,0,35,1.8,25,1.3,0,0,133,6.8
2013,한영신학대학교 _본교,2학기,"1,829",4.5,221,12.1,166,9.1,0,0,553,30.2,261,14.3,0,0,324,17.7,167,9.1,0,0,34,1.9,35,1.9,0,0,68,3.7
2013,한일장신대학교 _본교,1학기,"1,882",4.5,262,13.9,213,11.3,248,13.2,346,18.4,194,10.3,176,9.4,135,7.2,61,3.2,93,4.9,7,0.4,19,1,14,0.7,114,6.1
2013,한일장신대학교 _본교,2학기,"1,496",4.5,186,12.4,160,10.7,201,13.4,255,17,202,13.5,168,11.2,113,7.6,69,4.6,69,4.6,9,0.6,8,0.5,21,1.4,35,2.3
2013,한중대학교 _본교,1학기,"4,082",4.5,"1,426",34.9,942,23.1,0,0,670,16.4,454,11.1,0,0,123,3,132,3.2,0,0,37,0.9,32,0.8,0,0,266,6.5
