상영내역,,,,,,,,,,
상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회
2015-03-08,08관,"08:30, 순수의 시대(디지털), 6,000원","10:55, 순수의 시대(디지털), 10,000원","13:20, 순수의 시대(디지털), 10,000원","15:45, 순수의 시대(디지털), 10,000원","18:10, 순수의 시대(디지털), 10,000원","20:30, 순수의 시대(디지털), 10,000원","23:00, 순수의 시대(디지털), 9,000원",,
2015-03-09,01관,"10:00, 이미테이션 게임(디지털), 6,000원","12:25, 이미테이션 게임(디지털), 8,000원","14:50, 이미테이션 게임(디지털), 9,000원","17:15, 이미테이션 게임(디지털), 9,000원","19:40, 이미테이션 게임(디지털), 9,000원","22:10, 이미테이션 게임(디지털), 9,000원","24:35, 이미테이션 게임(디지털), 8,000원",,
2015-03-09,02관,"09:50, 헬머니(디지털), 6,000원","12:05, 헬머니(디지털), 8,000원","14:20, 헬머니(디지털), 8,000원","16:45, 헬머니(디지털), 9,000원","19:00, 헬머니(디지털), 9,000원","21:15, 헬머니(디지털), 9,000원","23:30, 헬머니(디지털), 8,000원",,
2015-03-09,03관,"08:50, 킹스맨 : 시크릿 에이전트(디지털), 6,000원","11:25, 킹스맨 : 시크릿 에이전트(디지털), 8,000원","14:00, 킹스맨 : 시크릿 에이전트(디지털), 8,000원","16:35, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","19:10, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","21:45, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","24:20, 킹스맨 : 시크릿 에이전트(디지털), 8,000원",,
2015-03-09,04관,"08:50, 세인트 빈센트(디지털), 6,000원","11:00, 조선명탐정 : 사라진 놉의 딸(디지털), 8,000원","13:35, 세인트 빈센트(디지털), 8,000원","15:50, 기생수 파트1(디지털), 8,000원","18:15, 이미테이션 게임(디지털), 9,000원","20:50, 이미테이션 게임(디지털), 9,000원","23:40, 기생수 파트1(디지털), 8,000원",,
2015-03-09,05관 [CGV아트하우스],"09:10, 버드맨(디지털), 6,000원","11:40, 제네시스: 세상의 소금(디지털), 6,000원","14:10, 버드맨(디지털), 8,000원","16:40, 이다(디지털), 9,000원","18:30, 버드맨(디지털), 9,000원",,"23:20, 버드맨(디지털), 8,000원",,
2015-03-09,06관,"10:20, 그레이의 50가지 그림자(디지털), 8,000원","12:55, 빅 히어로(디지털), 8,000원","15:10, 그레이의 50가지 그림자(디지털), 8,000원","17:45, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","20:20, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","23:10, 그레이의 50가지 그림자(디지털), 8,000원",,,
2015-03-09,07관,"09:20, 센과 치히로의 행방불명(디지털), 6,000원","11:55, 버드맨(디지털), 8,000원","14:25, 센과 치히로의 행방불명(디지털), 8,000원","17:00, 버드맨(디지털), 9,000원","19:30, 버드맨(디지털), 9,000원","22:00, 버드맨(디지털), 9,000원","24:30, 순수의 시대(디지털), 8,000원",,
2015-03-09,08관,"09:00, 순수의 시대(디지털), 6,000원","11:20, 순수의 시대(디지털), 7,000원","13:40, 순수의 시대(디지털), 8,000원","16:00, 순수의 시대(디지털), 9,000원","18:20, 순수의 시대(디지털), 9,000원","20:40, 순수의 시대(디지털), 9,000원","23:00, 순수의 시대(디지털), 8,000원",,
2015-03-10,01관,"10:00, 이미테이션 게임(디지털), 6,000원","12:25, 이미테이션 게임(디지털), 8,000원","14:50, 이미테이션 게임(디지털), 8,000원","17:15, 이미테이션 게임(디지털), 9,000원","19:40, 이미테이션 게임(디지털), 9,000원","22:10, 이미테이션 게임(디지털), 9,000원","24:35, 이미테이션 게임(디지털), 8,000원",,
2015-03-10,02관,"10:30, 헬머니(디지털), 8,000원","12:45, 헬머니(디지털), 8,000원","15:00, 헬머니(디지털), 9,000원","17:25, 헬머니(디지털), 9,000원","19:50, 헬머니(디지털), 9,000원","22:10, 헬머니(디지털), 9,000원","24:35, 헬머니(디지털), 8,000원",,
2015-03-10,03관,"08:50, 킹스맨 : 시크릿 에이전트(디지털), 6,000원","11:25, 킹스맨 : 시크릿 에이전트(디지털), 8,500원","14:00, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","16:35, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","19:10, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","21:45, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","24:20, 킹스맨 : 시크릿 에이전트(디지털), 9,000원",,
2015-03-10,04관,"08:50, 세인트 빈센트(디지털), 6,000원","11:00, 조선명탐정 : 사라진 놉의 딸(디지털), 8,000원","13:35, 세인트 빈센트(디지털), 8,000원","15:45, 기생수 파트1(디지털), 8,000원","18:25, 이미테이션 게임(디지털), 9,000원","20:50, 이미테이션 게임(디지털), 9,000원","23:20, 세인트 빈센트(디지털), 8,000원",,
2015-03-10,05관 [CGV아트하우스],"09:00, 버드맨(디지털), 6,000원",,"13:50, 버드맨(디지털), 9,000원","16:20, 이다(디지털), 9,000원","18:10, 버드맨(디지털), 9,000원","20:40, 제네시스: 세상의 소금(디지털), 9,000원","23:30, 버드맨(디지털), 9,000원",,
2015-03-10,06관,"10:20, 그레이의 50가지 그림자(디지털), 7,000원","12:55, 빅 히어로(디지털), 8,000원","15:10, 그레이의 50가지 그림자(디지털), 8,000원","17:55, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","20:30, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","23:10, 그레이의 50가지 그림자(디지털), 8,000원",,,
2015-03-10,07관,"09:20, 센과 치히로의 행방불명(디지털), 6,000원","11:55, 버드맨(디지털), 8,000원","14:25, 센과 치히로의 행방불명(디지털), 9,000원","17:00, 버드맨(디지털), 9,000원","19:30, 버드맨(디지털), 9,000원","22:00, 버드맨(디지털), 9,000원","24:30, 기생수 파트1(디지털), 6,000원",,
2015-03-10,08관,"09:50, 순수의 시대(디지털), 6,000원","12:10, 순수의 시대(디지털), 8,000원","14:35, 순수의 시대(디지털), 8,000원","16:55, 순수의 시대(디지털), 9,000원","19:20, 순수의 시대(디지털), 9,000원","21:40, 순수의 시대(디지털), 9,000원","24:00, 순수의 시대(디지털), 8,000원",,
2015-03-11,01관,"10:00, 이미테이션 게임(디지털), 6,000원","12:25, 이미테이션 게임(디지털), 8,000원","14:50, 이미테이션 게임(디지털), 8,000원","17:15, 이미테이션 게임(디지털), 9,000원","19:40, 이미테이션 게임(디지털), 9,000원","22:10, 이미테이션 게임(디지털), 9,000원","24:35, 이미테이션 게임(디지털), 8,000원",,
2015-03-11,02관,"10:30, 헬머니(디지털), 8,000원","12:45, 헬머니(디지털), 8,000원","15:00, 헬머니(디지털), 8,000원","17:25, 헬머니(디지털), 9,000원","19:50, 헬머니(디지털), 9,000원","22:10, 헬머니(디지털), 9,000원","24:35, 헬머니(디지털), 8,000원",,
2015-03-11,03관,"08:50, 킹스맨 : 시크릿 에이전트(디지털), 6,000원","11:25, 킹스맨 : 시크릿 에이전트(디지털), 8,000원","14:00, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","16:35, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","19:10, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","21:45, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","24:20, 킹스맨 : 시크릿 에이전트(디지털), 8,000원",,
2015-03-11,04관,"08:50, 세인트 빈센트(디지털), 6,000원","11:00, 조선명탐정 : 사라진 놉의 딸(디지털), 8,000원","13:35, 세인트 빈센트(디지털), 8,000원","15:45, 기생수 파트1(디지털), 8,000원","18:25, 이미테이션 게임(디지털), 9,000원","20:50, 이미테이션 게임(디지털), 9,000원","23:20, 세인트 빈센트(디지털), 8,000원",,
2015-03-11,05관 [CGV아트하우스],"09:00, 버드맨(디지털), 6,000원","11:30, 제네시스: 세상의 소금(디지털), 8,000원","13:50, 버드맨(디지털), 9,000원","16:20, 이다(디지털), 9,000원","18:10, 버드맨(디지털), 9,000원","20:40, 조류인간(디지털), 7,000원","23:30, 버드맨(디지털), 9,000원",,
2015-03-11,06관,"10:20, 그레이의 50가지 그림자(디지털), 7,000원","12:55, 빅 히어로(디지털), 8,000원","15:10, 그레이의 50가지 그림자(디지털), 8,000원","17:55, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","20:30, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","23:10, 그레이의 50가지 그림자(디지털), 8,000원",,,
2015-03-11,07관,"09:20, 센과 치히로의 행방불명(디지털), 6,000원","11:55, 버드맨(디지털), 8,000원","14:25, 센과 치히로의 행방불명(디지털), 8,000원","17:00, 버드맨(디지털), 9,000원","19:30, 버드맨(디지털), 9,000원","22:00, 버드맨(디지털), 9,000원","24:30, 기생수 파트1(디지털), 8,000원",,
2015-03-11,08관,"09:50, 순수의 시대(디지털), 6,000원","12:10, 순수의 시대(디지털), 4,000원","14:35, 순수의 시대(디지털), 7,000원","16:55, 순수의 시대(디지털), 9,000원","19:20, 순수의 시대(디지털), 9,000원","21:40, 순수의 시대(디지털), 9,000원","24:00, 순수의 시대(디지털), 8,000원",,
2015-03-12,01관,"08:50, 킹스맨 : 시크릿 에이전트(디지털), 6,000원","11:25, 킹스맨 : 시크릿 에이전트(디지털), 8,000원","14:05, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","16:40, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","19:15, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","21:50, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","24:25, 킹스맨 : 시크릿 에이전트(디지털), 8,000원",,
2015-03-12,02관,"08:50, 드래곤 블레이드(디지털), 6,000원",,"13:40, 순수의 시대(디지털), 9,000원","16:00, 드래곤 블레이드(디지털), 9,000원","18:35, 순수의 시대(디지털), 9,000원","20:55, 기생수 파트1(디지털), 9,000원","23:15, 드래곤 블레이드(디지털), 8,000원",,
2015-03-12,03관,"09:30, 채피(디지털), 6,000원","12:00, 채피(디지털), 8,000원","14:30, 채피(디지털), 9,000원","17:00, 채피(디지털), 9,000원","19:30, 채피(디지털), 9,000원","22:00, 채피(디지털), 9,000원","24:35, 채피(디지털), 8,000원",,
2015-03-12,04관,"09:50, 해피 해피 와이너리(디지털), 6,000원","12:15, 이미테이션 게임(디지털), 8,000원","14:40, 해피 해피 와이너리(디지털), 8,000원","17:15, 이미테이션 게임(디지털), 9,000원","19:40, 이미테이션 게임(디지털), 9,000원","22:05, 해피 해피 와이너리(디지털), 9,000원","24:35, 이미테이션 게임(디지털), 8,000원",,
2015-03-12,05관 [CGV아트하우스],"09:10, 버드맨(디지털), 6,000원","11:40, 제네시스: 세상의 소금(디지털), 8,000원","14:10, 버드맨(디지털), 8,000원","16:45, 조류인간(디지털), 4,000원","19:05, 버드맨(디지털), 9,000원","21:40, 버드맨(디지털), 9,000원","24:10, 버드맨(디지털), 8,000원",,
2015-03-12,06관,"09:40, 소셜포비아(디지털), 6,000원","11:50, 소셜포비아(디지털), 8,000원","14:00, 소셜포비아(디지털), 8,000원","16:10, 소셜포비아(디지털), 9,000원","18:20, 소셜포비아(디지털), 9,000원","20:30, 소셜포비아(디지털), 9,000원","22:40, 소셜포비아(디지털), 9,000원","24:50, 소셜포비아(디지털), 8,000원",
2015-03-12,07관,"09:00, 살인의뢰(디지털), 6,000원","11:10, 살인의뢰(디지털), 8,000원","13:20, 살인의뢰(디지털), 8,000원","15:30, 살인의뢰(디지털), 8,000원","17:40, 살인의뢰(디지털), 9,000원","19:50, 살인의뢰(디지털), 9,000원","22:10, 살인의뢰(디지털), 9,000원","24:20, 살인의뢰(디지털), 8,000원",
2015-03-12,08관,"10:20, 위플래쉬(디지털), 6,000원","12:35, 위플래쉬(디지털), 8,000원","14:50, 위플래쉬(디지털), 9,000원","17:05, 위플래쉬(디지털), 9,000원","19:20, 위플래쉬(디지털), 9,000원","21:35, 위플래쉬(디지털), 9,000원","23:50, 위플래쉬(디지털), 8,000원",,
2015-03-13,01관,"09:50, 채피(디지털), 6,000원","12:20, 채피(디지털), 10,000원","14:50, 채피(디지털), 10,000원","17:20, 채피(디지털), 10,000원","19:50, 채피(디지털), 10,000원","22:20, 채피(디지털), 10,000원","25:00, 채피(디지털), 9,000원",,
2015-03-13,02관,"09:05, 해피 해피 와이너리(디지털), 6,000원","11:30, 드래곤 블레이드(디지털), 10,000원","14:05, 순수의 시대(디지털), 10,000원","16:35, 해피 해피 와이너리(디지털), 10,000원","19:10, 위플래쉬(디지털), 10,000원","21:25, 위플래쉬(디지털), 10,000원","23:40, 드래곤 블레이드(디지털), 9,000원",,
2015-03-13,03관,"09:15, 킹스맨 : 시크릿 에이전트(디지털), 6,000원","11:50, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","14:25, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","17:00, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","19:35, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","22:10, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","24:50, 킹스맨 : 시크릿 에이전트(디지털), 9,000원",,
2015-03-13,04관,"08:55, 이미테이션 게임(디지털), 6,000원","11:20, 기생수 파트1(디지털), 10,000원","13:40, 이미테이션 게임(디지털), 10,000원","16:05, 헬머니(디지털), 0원","18:20, 이미테이션 게임(디지털), 10,000원","20:45, 이미테이션 게임(디지털), 10,000원","23:10, 기생수 파트1(디지털), 9,000원","25:30, 이미테이션 게임(디지털), 9,000원",
2015-03-13,05관 [CGV아트하우스],"10:10, 버드맨(디지털), 6,000원","12:40, 조류인간(디지털), 10,000원","15:00, 버드맨(디지털), 10,000원","17:30, 제네시스: 세상의 소금(디지털), 10,000원","20:00, 버드맨(디지털), 10,000원","22:40, 버드맨(디지털), 10,000원","25:20, 버드맨(디지털), 9,000원",,
2015-03-13,06관,"10:20, 소셜포비아(디지털), 6,000원","12:30, 소셜포비아(디지털), 10,000원","14:40, 소셜포비아(디지털), 10,000원","16:50, 소셜포비아(디지털), 10,000원","19:00, 소셜포비아(디지털), 10,000원","21:10, 소셜포비아(디지털), 10,000원","23:20, 소셜포비아(디지털), 9,000원","25:40, 소셜포비아(디지털), 7,000원",
2015-03-13,07관,"09:30, 살인의뢰(디지털), 6,000원","11:40, 살인의뢰(디지털), 10,000원","13:50, 살인의뢰(디지털), 10,000원","16:15, 살인의뢰(디지털), 10,000원","18:30, 살인의뢰(디지털), 10,000원","20:40, 살인의뢰(디지털), 10,000원","22:50, 살인의뢰(디지털), 10,000원","25:10, 살인의뢰(디지털), 9,000원",
2015-03-13,08관,"08:50, 위플래쉬(디지털), 6,000원","11:05, 위플래쉬(디지털), 10,000원","13:20, 위플래쉬(디지털), 10,000원","15:35, 위플래쉬(디지털), 10,000원","17:50, 위플래쉬(디지털), 10,000원","20:10, 위플래쉬(디지털), 10,000원","22:30, 위플래쉬(디지털), 10,000원","24:45, 위플래쉬(디지털), 9,000원",
2015-03-14,01관,"09:20, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","12:00, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","14:40, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","17:20, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","20:00, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","22:40, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","25:15, 킹스맨 : 시크릿 에이전트(디지털), 9,000원",,
2015-03-14,02관,"10:00, 드래곤 블레이드(디지털), 6,000원","12:35, 해피 해피 와이너리(디지털), 10,000원","15:10, 위플래쉬(디지털), 10,000원","17:25, 위플래쉬(디지털), 10,000원","19:40, 위플래쉬(디지털), 10,000원","21:55, 순수의 시대(디지털), 10,000원","24:15, 드래곤 블레이드(디지털), 9,000원",,
2015-03-14,03관,"09:30, 위플래쉬(디지털), 8,000원","11:45, 위플래쉬(디지털), 10,000원","14:00, 위플래쉬(디지털), 10,000원","16:15, 위플래쉬(디지털), 10,000원","18:35, 위플래쉬(디지털), 10,000원","20:50, 위플래쉬(디지털), 10,000원","23:15, 위플래쉬(디지털), 9,000원","25:30, 위플래쉬(디지털), 9,000원",
2015-03-14,04관,"08:40, 이미테이션 게임(디지털), 6,000원","11:05, 헬머니(디지털), 10,000원","13:25, 이미테이션 게임(디지털), 10,000원","15:50, 이미테이션 게임(디지털), 10,000원","18:15, 이미테이션 게임(디지털), 10,000원","20:40, 이미테이션 게임(디지털), 10,000원","23:05, 기생수 파트1(디지털), 9,000원",,
2015-03-14,05관 [CGV아트하우스],"08:50, 버드맨(디지털), 6,000원","11:20, 제네시스: 세상의 소금(디지털), 10,000원","13:45, 버드맨(디지털), 10,000원","16:40, 조류인간(디지털), 10,000원","19:00, 버드맨(디지털), 10,000원","22:10, 버드맨(디지털), 10,000원","24:40, 버드맨(디지털), 9,000원",,
2015-03-14,06관,"08:20, 소셜포비아(디지털), 6,000원","10:30, 소셜포비아(디지털), 6,000원","12:40, 소셜포비아(디지털), 10,000원","14:50, 소셜포비아(디지털), 10,000원","17:00, 소셜포비아(디지털), 10,000원","19:10, 소셜포비아(디지털), 10,000원","21:20, 소셜포비아(디지털), 10,000원","23:30, 소셜포비아(디지털), 9,000원","25:40, 소셜포비아(디지털), 9,000원"
2015-03-14,07관,"09:10, 채피(디지털), 6,000원","11:40, 채피(디지털), 10,000원","14:10, 채피(디지털), 10,000원","16:50, 채피(디지털), 10,000원","19:30, 채피(디지털), 10,000원","22:00, 채피(디지털), 10,000원","24:30, 채피(디지털), 9,000원",,
2015-03-14,08관,"08:30, 살인의뢰(디지털), 6,000원","10:40, 살인의뢰(디지털), 9,000원","12:50, 살인의뢰(디지털), 10,000원","15:00, 살인의뢰(디지털), 10,000원","17:10, 살인의뢰(디지털), 10,000원","19:20, 살인의뢰(디지털), 10,000원","21:30, 살인의뢰(디지털), 10,000원","23:40, 살인의뢰(디지털), 9,000원","25:50, 살인의뢰(디지털), 9,000원"
2015-03-15,01관,"08:40, 킹스맨 : 시크릿 에이전트(디지털), 7,000원","11:15, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","13:50, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","16:25, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","19:00, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","21:35, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","24:10, 킹스맨 : 시크릿 에이전트(디지털), 9,000원",,
2015-03-15,02관,"08:40, 드래곤 블레이드(디지털), 6,000원","11:25, 해피 해피 와이너리(디지털), 10,000원","14:00, 위플래쉬(디지털), 10,000원","16:15, 위플래쉬(디지털), 10,000원","18:40, 위플래쉬(디지털), 10,000원","20:55, 순수의 시대(디지털), 10,000원","23:30, 드래곤 블레이드(디지털), 9,000원",,
2015-03-15,03관,"08:25, 위플래쉬(디지털), 6,000원","10:40, 위플래쉬(디지털), 7,000원","12:55, 위플래쉬(디지털), 10,000원","15:10, 위플래쉬(디지털), 10,000원","17:25, 위플래쉬(디지털), 10,000원","19:40, 위플래쉬(디지털), 10,000원","21:55, 위플래쉬(디지털), 10,000원","24:15, 위플래쉬(디지털), 9,000원",
2015-03-15,04관,"09:30, 이미테이션 게임(디지털), 6,000원","11:55, 헬머니(디지털), 10,000원","14:20, 이미테이션 게임(디지털), 10,000원","16:45, 이미테이션 게임(디지털), 10,000원","19:10, 이미테이션 게임(디지털), 10,000원","21:40, 이미테이션 게임(디지털), 10,000원","24:15, 기생수 파트1(디지털), 9,000원",,
2015-03-15,05관 [CGV아트하우스],"08:20, 버드맨(디지털), 6,000원","10:50, 조류인간(디지털), 6,000원","13:10, 버드맨(디지털), 10,000원","16:10, 제네시스: 세상의 소금(디지털), 10,000원","18:30, 버드맨(디지털), 10,000원","21:25, 버드맨(디지털), 10,000원","23:55, 버드맨(디지털), 9,000원",,
2015-03-15,06관,"09:20, 소셜포비아(디지털), 6,000원","11:30, 소셜포비아(디지털), 10,000원","13:40, 소셜포비아(디지털), 10,000원","15:50, 소셜포비아(디지털), 10,000원","18:00, 소셜포비아(디지털), 10,000원","20:10, 소셜포비아(디지털), 10,000원","22:20, 소셜포비아(디지털), 10,000원","24:40, 소셜포비아(디지털), 9,000원",
2015-03-15,07관,"09:10, 채피(디지털), 6,000원","11:40, 채피(디지털), 10,000원","14:10, 채피(디지털), 10,000원","16:50, 채피(디지털), 10,000원","19:20, 채피(디지털), 10,000원","21:50, 채피(디지털), 10,000원",,,
2015-03-15,08관,"08:50, 살인의뢰(디지털), 6,000원","11:00, 살인의뢰(디지털), 10,000원","13:20, 살인의뢰(디지털), 10,000원","15:30, 살인의뢰(디지털), 10,000원","17:40, 살인의뢰(디지털), 10,000원","19:50, 살인의뢰(디지털), 10,000원","22:05, 살인의뢰(디지털), 10,000원","24:25, 살인의뢰(디지털), 9,000원",
2015-03-16,01관,"08:50, 킹스맨 : 시크릿 에이전트(디지털), 6,000원","11:25, 킹스맨 : 시크릿 에이전트(디지털), 8,000원","14:00, 킹스맨 : 시크릿 에이전트(디지털), 8,000원","16:35, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","19:10, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","21:45, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","24:20, 킹스맨 : 시크릿 에이전트(디지털), 8,000원",,
2015-03-16,02관,"08:50, 해피 해피 와이너리(디지털), 6,000원","11:15, 드래곤 블레이드(디지털), 8,000원","13:50, 헬머니(디지털), 8,000원","16:05, 기생수 파트1(디지털), 9,000원","18:25, 위플래쉬(디지털), 9,000원","20:45, 위플래쉬(디지털), 9,000원","23:00, 드래곤 블레이드(디지털), 8,000원",,
2015-03-16,03관,"10:10, 위플래쉬(디지털), 6,000원","12:30, 위플래쉬(디지털), 8,000원","14:45, 이미테이션 게임(디지털), 9,000원","17:10, 위플래쉬(디지털), 9,000원","19:25, 위플래쉬(디지털), 9,000원","21:50, 위플래쉬(디지털), 9,000원","24:05, 위플래쉬(디지털), 8,000원",,
2015-03-16,04관,"10:00, 이미테이션 게임(디지털), 6,000원",,"17:30, 살인의뢰(디지털), 9,000원","19:40, 살인의뢰(디지털), 9,000원","21:50, 이미테이션 게임(디지털), 9,000원","24:15, 이미테이션 게임(디지털), 8,000원",,,
2015-03-16,05관 [CGV아트하우스],"09:15, 버드맨(디지털), 9,000원",,"14:15, 위플래쉬(디지털), 8,000원","16:30, 버드맨(디지털), 9,000원","19:00, 버드맨(디지털), 9,000원","21:30, 조류인간(디지털), 9,000원","23:50, 버드맨(디지털), 8,000원",,
2015-03-16,06관,,"11:35, 소셜포비아(디지털), 8,000원","13:45, 소셜포비아(디지털), 8,000원","15:55, 소셜포비아(디지털), 9,000원","18:05, 소셜포비아(디지털), 9,000원","20:15, 소셜포비아(디지털), 9,000원","22:25, 소셜포비아(디지털), 9,000원","24:35, 소셜포비아(디지털), 8,000원",
2015-03-16,07관,"08:55, 살인의뢰(디지털), 6,000원","11:05, 살인의뢰(디지털), 8,000원","13:15, 살인의뢰(디지털), 8,000원","15:25, 살인의뢰(디지털), 8,000원","17:40, 이미테이션 게임(디지털), 9,000원","20:05, 이미테이션 게임(디지털), 9,000원","22:35, 살인의뢰(디지털), 9,000원","24:45, 살인의뢰(디지털), 8,000원",
2015-03-16,08관,"09:30, 채피(디지털), 6,000원","12:00, 채피(디지털), 9,000원","14:30, 채피(디지털), 8,000원","17:00, 채피(디지털), 9,000원","19:30, 채피(디지털), 9,000원","22:00, 채피(디지털), 9,000원","24:30, 채피(디지털), 8,000원",,
2015-03-17,01관,"08:50, 킹스맨 : 시크릿 에이전트(디지털), 6,000원","11:25, 킹스맨 : 시크릿 에이전트(디지털), 8,000원","14:00, 킹스맨 : 시크릿 에이전트(디지털), 8,000원","16:35, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","19:10, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","21:45, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","24:20, 킹스맨 : 시크릿 에이전트(디지털), 8,000원",,
2015-03-17,02관,"08:50, 해피 해피 와이너리(디지털), 6,000원","11:15, 헬머니(디지털), 8,000원","13:30, 해피 해피 와이너리(디지털), 8,000원","15:55, 기생수 파트1(디지털), 8,000원","18:15, 위플래쉬(디지털), 9,000원","20:40, 위플래쉬(디지털), 9,000원","23:00, 드래곤 블레이드(디지털), 8,000원",,
2015-03-17,03관,"10:20, 위플래쉬(디지털), 8,000원",,"14:50, 이미테이션 게임(디지털), 8,000원","17:15, 위플래쉬(디지털), 9,000원","19:30, 위플래쉬(디지털), 9,000원","21:55, 위플래쉬(디지털), 9,000원","24:10, 위플래쉬(디지털), 8,000원",,
2015-03-17,04관,"10:20, 이미테이션 게임(디지털), 6,000원","12:45, 이미테이션 게임(디지털), 9,000원","15:10, 드래곤 블레이드(디지털), 9,000원","17:45, 이미테이션 게임(디지털), 9,000원","20:10, 살인의뢰(디지털), 9,000원","22:25, 살인의뢰(디지털), 9,000원","24:35, 소셜포비아(디지털), 7,000원",,
2015-03-17,05관 [CGV아트하우스],"09:10, 버드맨(디지털), 6,000원","11:40, 버드맨(디지털), 9,000원","14:10, 위플래쉬(디지털), 8,000원","16:25, 버드맨(디지털), 9,000원","19:00, 버드맨(디지털), 9,000원",,"23:50, 버드맨(디지털), 8,000원",,
2015-03-17,06관,,"12:20, 소셜포비아(디지털), 8,000원","14:30, 소셜포비아(디지털), 8,000원","16:40, 소셜포비아(디지털), 9,000원","18:50, 소셜포비아(디지털), 9,000원","21:00, 소셜포비아(디지털), 9,000원",,,
2015-03-17,07관,,"11:10, 살인의뢰(디지털), 6,000원","13:20, 살인의뢰(디지털), 8,000원","15:30, 살인의뢰(디지털), 9,000원","17:40, 살인의뢰(디지털), 9,000원","19:50, 이미테이션 게임(디지털), 9,000원","22:15, 이미테이션 게임(디지털), 9,000원","24:40, 살인의뢰(디지털), 8,000원",
2015-03-17,08관,"09:20, 채피(디지털), 6,000원","11:50, 채피(디지털), 8,000원","14:20, 채피(디지털), 8,000원","16:50, 채피(디지털), 9,000원","19:20, 채피(디지털), 9,000원","21:50, 채피(디지털), 9,000원","24:25, 채피(디지털), 8,000원",,
2015-03-18,01관,"08:50, 킹스맨 : 시크릿 에이전트(디지털), 6,000원","11:25, 킹스맨 : 시크릿 에이전트(디지털), 8,000원","14:00, 킹스맨 : 시크릿 에이전트(디지털), 8,000원","16:35, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","19:10, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","21:45, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","24:20, 킹스맨 : 시크릿 에이전트(디지털), 8,000원",,
2015-03-18,02관,"08:50, 해피 해피 와이너리(디지털), 6,000원","11:15, 헬머니(디지털), 8,000원","13:30, 해피 해피 와이너리(디지털), 8,000원","15:55, 기생수 파트1(디지털), 8,000원","18:15, 위플래쉬(디지털), 9,000원","20:40, 위플래쉬(디지털), 9,000원","23:00, 드래곤 블레이드(디지털), 8,000원",,
2015-03-18,03관,"10:20, 위플래쉬(디지털), 6,500원","12:35, 위플래쉬(디지털), 8,000원","14:50, 이미테이션 게임(디지털), 8,000원","17:15, 위플래쉬(디지털), 9,000원","19:30, 위플래쉬(디지털), 9,000원","21:55, 위플래쉬(디지털), 9,000원","24:10, 위플래쉬(디지털), 8,000원",,
2015-03-18,04관,"10:20, 이미테이션 게임(디지털), 6,000원","12:45, 이미테이션 게임(디지털), 8,000원","15:10, 드래곤 블레이드(디지털), 8,000원","17:45, 이미테이션 게임(디지털), 9,000원","20:10, 살인의뢰(디지털), 9,000원","22:25, 살인의뢰(디지털), 9,000원","24:35, 소셜포비아(디지털), 8,000원",,
