2015년_ [교양과목 성적평가 분포_(대학)_],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준년도,학교명,학기,교양과목 성적인정 총학생수,만점평점,등급(평점)별 학생수 및 비율,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A+,,A0,,A-,,B+,,B0,,B-,,C+,,C0,,C-,,D+,,D0,,D-,,F,
,,,,,학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%)
2014,가야대학교 _본교,1학기,"6,888",4.5,"1,059",15.4,937,13.6,0,0,"1,549",22.5,934,13.6,0,0,"1,187",17.2,507,7.4,0,0,182,2.6,125,1.8,0,0,408,5.9
2014,가야대학교 _본교,2학기,"5,895",4.5,961,16.3,722,12.2,0,0,"1,278",21.7,812,13.8,0,0,952,16.1,482,8.2,0,0,126,2.1,116,2,0,0,446,7.6
2014,가천대학교 _본교,1학기,"51,410",4.5,"7,273",14.1,"5,752",11.2,0,0,"13,300",25.9,"5,114",9.9,0,0,"10,535",20.5,"3,485",6.8,0,0,"2,288",4.5,"1,230",2.4,0,0,"2,433",4.7
2014,가천대학교 _본교,2학기,"46,840",4.5,"7,705",16.4,"4,970",10.6,0,0,"12,780",27.3,"4,243",9.1,0,0,"9,699",20.7,"2,864",6.1,0,0,"1,801",3.8,"1,067",2.3,0,0,"1,711",3.7
2014,가톨릭관동대학교 _본교,1학기,"28,817",4.5,"5,051",17.5,"3,374",11.7,0,0,"7,904",27.4,"3,521",12.2,0,0,"5,295",18.4,"1,983",6.9,0,0,517,1.8,463,1.6,0,0,709,2.5
2014,가톨릭관동대학교 _본교,2학기,"22,921",4.5,"3,648",15.9,"2,701",11.8,0,0,"5,339",23.3,"2,784",12.1,0,0,"3,440",15,"1,877",8.2,0,0,819,3.6,768,3.4,0,0,"1,545",6.7
2014,가톨릭대학교 _본교,1학기,"20,167",4.5,"4,018",19.9,"1,756",8.7,0,0,"6,354",31.5,"1,496",7.4,0,0,"4,345",21.5,969,4.8,0,0,298,1.5,227,1.1,0,0,704,3.5
2014,가톨릭대학교 _본교,2학기,"17,490",4.5,"3,580",20.5,"1,411",8.1,0,0,"5,673",32.4,"1,239",7.1,0,0,"3,672",21,821,4.7,0,0,274,1.6,222,1.3,0,0,598,3.4
2014,가톨릭대학교 _제2캠퍼스,1학기,630,4.5,158,25.1,150,23.8,0,0,130,20.6,85,13.5,0,0,59,9.4,48,7.6,0,0,0,0,0,0,0,0,0,0
2014,가톨릭대학교 _제2캠퍼스,2학기,344,4.5,56,16.3,92,26.7,0,0,76,22.1,41,11.9,0,0,29,8.4,50,14.5,0,0,0,0,0,0,0,0,0,0
